name,url,token,price,city,desc,full_desc
پژو 206 تیپ ۲، مدل ۱۳۹۵,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۵/gZhykLpm,gZhykLpm,400000000,اصفهان,"۸۰,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۹۵|سواری و وانت|اصفهان، بزرگمهر|خرید و فروش قیمت مقطوع| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۹۷,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۷/gZhyEELx,gZhyEELx,455000000,شیراز,"۱۰۳,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۹۷|سواری و وانت|شیراز، معالی‌آباد|خرید و فروش روغن تازه عوض شده
۲ تا خط بدون رنگ| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۵، مدل ۱۳۹۶,https://divar.ir/v/پژو-206-تیپ-۵،-مدل-۱۳۹۶/gZhS0vZz,gZhS0vZz,485000000,تهران,"۸۱,۰۰۰ کیلومتر","پژو 206 تیپ ۵، مدل ۱۳۹۶|سواری و وانت|تهران، مجیدآباد|خرید و فروش سالم و بی خط و خش،بسیار تمیز
فنی و موتوری عالی
کم کار 
سرویس ها به موقع انجام شده 
باطری نو،دیسک و صفحه نو،شیشه دودی،چرم دور فرمان ،کفی سه بعدی،قفل کاپوت ،تازه گاز کولر شارژ شده،۱۱ ماه بیمه و ۶ سال تخفیف بیمه،جلوبندی سالم ،تسمه دینام و هرزگرد تازه تعویض شده و... 
مناسب مصرف کننده
لطفا با احترام عزیزان دلال تماس نگیرند| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
۲۰۶تیپ ۲ اتاق تعویض۱۴۰۰,https://divar.ir/v/۲۰۶تیپ-۲-اتاق-تعویض۱۴۰۰/gZXaXNAc,gZXaXNAc,339000000,تهران,"۸۶,۰۰۰ کیلومتر","۲۰۶تیپ ۲ اتاق تعویض۱۴۰۰|سواری و وانت|تهران، بریانک|خرید و فروش خودرو مدل۹۶اتاق تعویض ۱۴۰۰-ثبت شده در سند قانونی -
خودرو بی رنگ و شاسی ها سالمه فقط انداز دوتا  کف دست گوشه کاپوت آب رنگ شده- تو عکس اخر  مشخص کردم )
فنی سالم بدونه خرج-کولر ب تازگی مبلغ  ۵ میلیون کاملا سرویس شده سالم-مصرفی ها (باطری -تسمه تایم--جفت سنسور. اکسیژن .دینام .همگی تعویض شده -دریچه گاز سیمی .-کفی س بعدی روکش .دو جفت میدرنج .کف پوش-فنی ریالی خرج نداره موتور بدون صدا اضافی ..قیمت پایین گذاشتم ب علت نیاز مالی-معاوضه ندارم| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۳ پانوراما، مدل ۱۴۰۱,https://divar.ir/v/پژو-206-تیپ-۳-پانوراما،-مدل-۱۴۰۱/gZhukKy4,gZhukKy4,565000000,تهران,"۲۵,۰۰۰ کیلومتر",پژو 206 تیپ ۳ پانوراما، مدل ۱۴۰۱|سواری و وانت|تهران، یافت‌آباد|خرید و فروش سقف شیشه ای بدنه سرامیک.بیمه بدنه یکسال.مانیتور.روکش دوربین و ردیاب و لوازم دیگه.گارانتی فعال.نوک کاپوت جزیی رنگ .معاوضه با دنا پلاس اتومات تا مدل ۴۰۲| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۶، مدل ۱۳۸۴,https://divar.ir/v/پژو-206-تیپ-۶،-مدل-۱۳۸۴/gZhqkpWk,gZhqkpWk,370000000,تهران,"۲۰۰,۱۰۰ کیلومتر",پژو 206 تیپ ۶، مدل ۱۳۸۴|سواری و وانت|تهران، مرزداران|خرید و فروش با سلام ۲۰۶ تیپ ۶ مدل ۸۴ ماشین فرانسوی هست تمام وسیله های ماشین فابریک هست لوازم مصرفی به تازگی تعویض شده است ماشین بدون رنگ میباشد ماشین سپرهاشم رنگ نمی باشد سال ۱۳۸۵ دست ما است  کاکرد و بدون رنگ بودن ماشین به شرط کارشناسی| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۸۴,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۴/gZhqEmdI,gZhqEmdI,198000000,تهران,"۳۰۰,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۸۴|سواری و وانت|تهران، کوثر|خرید و فروش ماشین از نظر فنی هیچ مشکلی نداره  سقف و ستون سالم  همه ی مصرفی ها به تازگی عوض شده روکش نو شیشه ها دودی داخل کابین بسیار تمیز فقط همون‌طور که تو عکس مشخصه سقف یه کم آفتاب سوخته شده سینی شاسی جلو یه کم ضربه خورده| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۳، مدل ۱۳۸۷,https://divar.ir/v/پژو-206-تیپ-۳،-مدل-۱۳۸۷/gZhmkQDA,gZhmkQDA,262000000,تهران,"۴۵۰,۰۰۰ کیلومتر","پژو 206 تیپ ۳، مدل ۱۳۸۷|سواری و وانت|تهران، جنت‌آباد شمالی|خرید و فروش ماشین واقعا سالمه
موتور تازه تعمیر 
گیربکس تازه تعمیر 
تسمه ها نو
باتری نو
ماشین سالمه
به شرط کارشناسی عکسشم هست 
فوری فروشی
نیاز به پول دارم
معاوضه ام‌ نمیکنم| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
فنر,https://divar.ir/v/فنر/gZhiE4zj,gZhiE4zj,950000,اصفهان,-1,"فنر|قطعات یدکی و لوازم جانبی خودرو|اصفهان، دولت‌آباد|خرید و فروش فنرلول کمک فنر جلو پژو۲۰۶ فابریکی ایرانخودرو
این فنرا مال ۲۰۶بوده،چندماهی بیشتر زیرماشین نبوده و بخاطر تغییر ارتفاع عوض کردم
مناسب ۲۰۶،پژو پارس و پژو ۴۰۵| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۹۹,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۹/gZhiUXCK,gZhiUXCK,470000000,تهران,"۵۸,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۹۹|سواری و وانت|تهران، سعادت‌آباد|خرید و فروش ۲۰۶ سفید بدون رنگ ۹۹| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۸۶,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۶/gZhi0Dpy,gZhi0Dpy,240000000,شیراز,"۳۲۰,۰۰۰ کیلومتر",
پژو 206 تیپ ۵، مدل ۱۳۹۶,https://divar.ir/v/پژو-206-تیپ-۵،-مدل-۱۳۹۶/gZhe0-mc,gZhe0-mc,410000000,شیراز,"۲۳۰,۰۰۰ کیلومتر",
*خشک خشک صندوقدار V8* مدل آخر 1399,https://divar.ir/v/*خشک-خشک-صندوقدار-V8*-مدل-آخر-1399/QZEW5Cbc,QZEW5Cbc,111111111,تهران,"۱,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۳۹۷,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۷/gZheURMI,gZheURMI,428000000,تهران,"۶۹,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۳۹۸,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۸/gZhaUqo-,gZhaUqo-,430000000,تهران,"۵۶,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۴۰۰,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۴۰۰/gZha0jit,gZha0jit,523000000,تهران,"۴۳,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۴۰۰,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۴۰۰/gZhaEh-q,gZhaEh-q,525000000,تهران,"۴۵,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۳۸۹,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۹/gZha0PPD,gZha0PPD,290000000,تهران,"۱۷۲,۰۰۰ کیلومتر",
کاپوت پژو پراید 206سمند111صبا132رنگی ضمانت دار,https://divar.ir/v/کاپوت-پژو-پراید-206سمند111صبا132رنگی-ضمانت-دار/gZhW0I8v,gZhW0I8v,1380000,تهران,-1,"کاپوت پژو پراید 206سمند111صبا132رنگی ضمانت دار|قطعات یدکی و لوازم جانبی خودرو|تهران، شهرک کیانشهر|خرید و فروش دیگه دنبال قیمت پایین. نگردید کیفیت رو تجربه کنید 
نمایندگی برتر سایپا کد 9052 گنجی فرامرز 
تمامی کد رنگ ماشین ها موجود می‌باشد 
رنگ های متنوع فابریک ضمانت کتبی 10 ساله 
سپر چراغ سینی فن جلوپنجره 
ارسال سریع 
با تشکر از توجه شما| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 SD V8، مدل ۱۳۹۶,https://divar.ir/v/پژو-206-SD-V8،-مدل-۱۳۹۶/gZhWEwSm,gZhWEwSm,510000000,تهران,"۱۵۰,۰۰۰ کیلومتر",پژو 206 SD V8، مدل ۱۳۹۶|سواری و وانت|تهران، قنات‌کوثر|خرید و فروش ماشین سالم مصرف کننده تماس بگیر| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 SD V9، مدل ۱۳۸۹,https://divar.ir/v/پژو-206-SD-V9،-مدل-۱۳۸۹/gZhWkufR,gZhWkufR,300000000,شیراز,"۴۰۰,۰۰۰ کیلومتر","پژو 206 SD V9، مدل ۱۳۸۹|سواری و وانت|شیراز، هفت تنان|خرید و فروش موتور تازه تعمیر 
گیربکس بدون ایراد
فنی سالم
زیر پا خوب| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۳، مدل ۱۳۸۵,https://divar.ir/v/پژو-206-تیپ-۳،-مدل-۱۳۸۵/gZtZTe3b,gZtZTe3b,260000000,اصفهان,"۲۲۳,۰۰۰ کیلومتر","پژو 206 تیپ ۳، مدل ۱۳۸۵|سواری و وانت|اصفهان، امیریه|خرید و فروش ماشین بدون رنگ حتی سپرها تمام مصرفی ها تعویض شده کاملا در سلامت کامل زاپاس نخورده فروش نقدی  یا معاوضه با اس دی سفید تا مدل 90 و یا ریو یا پژو پارس سفید  الباقی را نقدی تقدیم  میکنم تخفیف جزیی
ماشین رو فقط به خاطر کوچک بودنش دارم میفروشم| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پراید 131 SE، مدل ۱۳۹۶ معاوضه پژو پرشیا ۲۰۶,https://divar.ir/v/پراید-131-SE،-مدل-۱۳۹۶-معاوضه-پژو-پرشیا-۲۰۶/gZklQylS,gZklQylS,265000000,تهران,"۶۳,۰۰۰ کیلومتر","پراید 131 SE، مدل ۱۳۹۶ معاوضه پژو پرشیا ۲۰۶|سواری و وانت|تهران، تهرانپارس شرقی|خرید و فروش درود برشما 
خودرو فنی سواری عالی 
ضبط باند دزدگیر شیشه دودی 
تمام مصرفی ها عوض شده 
اطلاعات بیشتر تماس بگیرید
تخفیف پای معامله
معاوضه با خودرو پژو۴۰۵ پرشیا پژو۲۰۶| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
رام اکسل پراید پژو سمند 206 اصلی گلگیر,https://divar.ir/v/رام-اکسل-پراید-پژو-سمند-206-اصلی-گلگیر/gZhKUes9,gZhKUes9,480000,تهران,-1,"رام اکسل پراید پژو سمند 206 اصلی گلگیر|قطعات یدکی و لوازم جانبی خودرو|تهران، مشیریه|خرید و فروش تولید میل تعادل پراید تیبا وانت 
پخش عمده رام پژو. جنس متفرقه بدون ضمانت 1380
راه فدک هستش.  جنس مشهد اصلی 1780
اکسل ضعیف فولاد شید 1450
اکسل رویین. سایپایی 1920
گلگیر پراید پخش 480
بازرگانی رسمی سایکو کد 9052سایپا
ارسال سریع به تمام نقاط ایران.
با تشکر فراوان از شما دوستان| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۸۲,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۲/gZhKEo0W,gZhKEo0W,200000000,اصفهان,"۴۰۰,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۸۲|سواری و وانت|اصفهان، مبارکه|خرید و فروش سلام 
سقف وستون سالم شاسی هاپلمپ موتور وزیروبند سالم برقی سالم اتاق تمیز آفتاب سوختگی دارد لاستیکها ۸۰درصد تخفیف خوب پای معامله| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۸۰,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۰/gZVOV0kc,gZVOV0kc,190000000,شیراز,"۱۵۰,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۸۰|سواری و وانت|شیراز، فرهنگ شهر|خرید و فروش دوبرگ سند است یعنی زیاد دست به دست نشده دور تادور چند لکه رنگ کوچک  دارد ولی کلا شاسیها و سقف و ستون فابریک کولر بخاری سالم روکش نو تمام سیستم‌ها سالم درحد مدل بالا کاملا خانگی هست| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۸۹,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۹/gZCy-clZ,gZCy-clZ,260000000,اصفهان,"۲۲۰,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۸۹|سواری و وانت|اصفهان، امین‌آباد|خرید و فروش ۲۰۶مشکی مدل ۸۹
۲۲۰تاکار 
شاسی ها و سقف ستون سالم میباشد 
چند لکه دورماشین رنگ داره ولی نسبت به مدل خوبه ظاهرش 
فنی سالم و ..
برای قیمت و مشخصات بیشتر پیام دهید| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو۲۰۶تیپ۵مدل۹۳,https://divar.ir/v/پژو۲۰۶تیپ۵مدل۹۳/gZhqT9uG,gZhqT9uG,385000000,تهران,"۹۹,۰۰۰ کیلومتر","پژو۲۰۶تیپ۵مدل۹۳|سواری و وانت|تهران، وردآورد|خرید و فروش عرضه یک دستگاه خودروی۲۰۶تیپ۵سال۱۳۹۳
معایب:
۲گلگیرجلوتعویض،یک لک کوچک رنگ سرنشین جلو
معاینه فنی تاپایان سال
قیمت بااحتساب مالیات،بیمه،عوارض وخلافی۳۸۵میلیون
به شرط کارشناسی خودرو
ازمذاکره بامارکت میکرها(واسطه ها)معذورمی باشیم
معامله واقعی بامصرف کننده واقعی| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۹۸,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۸/gZhGEQH6,gZhGEQH6,445000000,تهران,"۱۱۱,۰۰۰ کیلومتر",
پژو 206 SD V8، مدل ۱۳۸۹,https://divar.ir/v/پژو-206-SD-V8،-مدل-۱۳۸۹/gZhGUIHa,gZhGUIHa,270000000,اصفهان,"۳۰۰,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۳۹۹,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۹/gZhCk3yp,gZhCk3yp,485000000,تهران,"۴۰,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۴۰۱,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۴۰۱/gZhCEDt_,gZhCEDt_,568000000,تهران,"۲۳,۰۰۰ کیلومتر",
پژو 206SD، دوگانه ۸۷ ، موتور بزرگ فرانسوی,https://divar.ir/v/پژو-206SD،-دوگانه-۸۷-،-موتور-بزرگ-فرانسوی/gZAqh_BN,gZAqh_BN,338000000,تهران,"۱۹۰,۰۰۰ کیلومتر",
پژو 206 تیپ ۵، مدل ۱۳۹۳,https://divar.ir/v/پژو-206-تیپ-۵،-مدل-۱۳۹۳/gZh-zx_1,gZh-zx_1,402000000,تهران,"۲۳۰,۰۰۰ کیلومتر",
پژو 206 SD V8، مدل ۱۳۹۴,https://divar.ir/v/پژو-206-SD-V8،-مدل-۱۳۹۴/gZh-DROB,gZh-DROB,415000000,تهران,"۲۰۰,۰۰۰ کیلومتر",
پژو 206 SD V8، مدل ۱۳۹۴,https://divar.ir/v/پژو-206-SD-V8،-مدل-۱۳۹۴/gZh6j4UN,gZh6j4UN,398000000,تهران,"۹۲,۰۰۰ کیلومتر",
پژو 206 تیپ ۵، مدل ۱۳۹۳,https://divar.ir/v/پژو-206-تیپ-۵،-مدل-۱۳۹۳/gZfmnULR,gZfmnULR,460000000,تهران,"۴۶,۰۰۰ کیلومتر",
پژو 206 تیپ ۲، مدل ۱۳۹۶,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۶/gZh-S-I4,gZh-S-I4,410000000,شیراز,"۱۷۰,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۹۶|سواری و وانت|شیراز، شهرک گلستان|خرید و فروش خودرو فابریک بدون ضربه 
تمام سرویس ها از تسمه تایم تا روغن اخیرا انجام شده
فاکتور موجود هست 
بسیار تمیر و دیدنی| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۹۰,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۰/gZhCD1Ip,gZhCD1Ip,320000000,تهران,"۳۸۸,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۹۰|سواری و وانت|تهران، چیتگر|خرید و فروش سلام عرض ادب
ماشین بسیار تمیز
فقط کاپوتو گلگیر سمت شاگرد تعویض شده که اونم موتور افتاده رو ماشین وگرنه هیچ تصادفی نداشته ماشین
کاکرد ماشین واقعی اگر تو دیوار میبنید ماشین برا13سال پیش زده پایین300کار همش الکی دستگاه زدن 
ولی من هیچ دستگاهی نزدم همه چی رو معلومه
داخل دیزاین کامل عوض شده،20میلیون هزینه کردم
شیشه دودی،چراغ جلو و عقب نو،نمد کاپوت
قفل صندوق،قفل کاپوت،قفل داشبورد ،کف پایی پنج بعدی،روکش صندلی چرم اصل،رو دری،رو درب داشبورد،زنون
موتور هیچ عیب و نقصی ندارد سالمه سالم
جلوبندی و جعبه فرمون کامل سرویس شده
اکسل کامل سرویس شده کمک جلو تازه عوض شده
باطری و تازه عوض کردم گاز کولر هم تازه زدم
تسمه تایم تازه عوض کردم
لنت جلو و لاستیک های جلو نو
به شرط کارشناسی✅
ماشین جدید میخام بخرم وگرنه نمیفروختم

معاوضه ندارم


فوری،فوری،فوری

مصرف کننده فقط تماس بگیره| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۳ پانوراما، مدل ۱۴۰۱,https://divar.ir/v/پژو-206-تیپ-۳-پانوراما،-مدل-۱۴۰۱/gZZSj7dX,gZZSj7dX,558000000,تهران,"۵۵,۰۰۰ کیلومتر","پژو 206 تیپ ۳ پانوراما، مدل ۱۴۰۱|سواری و وانت|تهران، دریا|خرید و فروش 206تیپ 3  
سقف پانوراما
بی رنگ

باتری نو شده
درهای ماشین ضد سرقت شده 
قفل کاپوت و قفل کامپیوتر
شیشهای دودی آمریکایی
تسمه تایم نو انداختم 
لنتها جلو و عقب نو انداختم
۵۵۰۰۰ کارکرد واقعی
تمام مصرفیها به موقع تعویض شدن
دوتیکه کوچیک صافکاری PDR میخواد من وقت نداشتم ببرم  که از قیمت کم کردم عکساشم گذاشتم

قیمت پایین گذاشتم 

بازدید هروز از ساعت 10تا 7عصر سعادت آباد
در خدمتتون هستم

چون پلاکمو می‌خوام فقط مصرف کننده های عزیز تماس بگیرن| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۸۴ نقد و اقساط,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۴-نقد-و-اقساط/gZCSO4YG,gZCSO4YG,200000000,تهران,"۳۵۰,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۸۴ نقد و اقساط|سواری و وانت|تهران، باغ خزانه|خرید و فروش با سلام جلو عقب سالم نقد و اقساط فنی سالم بدونه ایراد| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۹۶,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۶/gZh2zhEN,gZh2zhEN,440000000,شیراز,"۵۴,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۹۶|سواری و وانت|شیراز، شهرک نیروی انتظامی|خرید و فروش ماشین فوق‌العاده تمیز مرتب، خانگی. کلیه لوازم مصرفی به موقع تعویض شده.دیسک و صفحه کلاچ فرانسوی تعویض شده.تسمه تایم تعویض شده.بیمه بدنه دارد.شماره کیلومتر واقعی.| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۹۴ بدون رنگ,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۴-بدون-رنگ/gZZ2Upu7,gZZ2Upu7,415000000,اصفهان,"۱۲۰,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۹۴ بدون رنگ|سواری و وانت|اصفهان، خانه اصفهان|خرید و فروش پژو ۲۰۶ کم کار موتور tu3
بدون رنگ
شاسی سالم 
سنسور دنده عقب دارد
روغن خودرو هر ۴ هزارتا تعویض شده
فنی موتور عالی 
تسمه تایم تازه تعویض شده
کولر بخاری سالم 
لاستیک حدود ۸۰درصد
باتری کمتر از یک سال تعویض شده
تخفیفات بیمه کامل
فروش فقط فقط نقدی
قابل معاوضه با پراید کوییک ۱۱۱ساینا تیبا و....نمیباشد| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۸۳,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۳/gZh2TZQy,gZh2TZQy,220000000,اصفهان,"۴۲۱,۸۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۸۳|سواری و وانت|اصفهان، ملک‌شهر|خرید و فروش ماشین دارای معاینه فنی میباشد 
سقف ماشین دارای آفتاب سوختگی است| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
